3000	C	M191	11	0	1000
3000	C	M192	16	0	1000
3000	C	M193	17	0	1000
3000	C	M194	19	0	1000
3000	C	M195	20	0	1000
3000	C	M196	21	0	1000
3000	C	M197	23	0	1000
3000	C	M198	24	0	1000
3000	C	M199	25	0	1000
3000	C	M200	26	0	1000
3000	C	M201	29	0	1000
3000	C	M202	30	0	1000
3000	C	M203	31	0	1000
3000	C	M204	32	0	1000
3000	C	M205	36	0	1000
3000	C	M206	38	0	1000
3000	C	M207	40	0	1000
3000	C	M208	46	0	1000
3300	C	M209	9	0	1000
3300	C	M210	11	0	1000
3300	C	M211	16	0	1000
3300	C	M212	17	0	1000
3300	C	M213	19	0	1000
3300	C	M214	20	0	1000
3300	C	M215	21	0	1000
3300	C	M216	23	0	1000
3300	C	M217	24	0	1000
3300	C	M218	25	0	1000
3300	C	M219	26	0	1000
3300	C	M220	29	0	1000
3300	C	M221	30	0	1000
3300	C	M222	31	0	1000
3300	C	M223	32	0	1000
3300	C	M224	36	0	1000
3300	C	M225	38	0	1000
3300	C	M226	40	0	1000
3300	C	M227	46	0	1000
3600	C	M228	9	0	1000
3600	C	M229	11	0	1000
3600	C	M230	16	0	1000
3600	C	M231	17	0	1000
3600	C	M232	19	0	1000
3600	C	M233	20	0	1000
3600	C	M234	21	0	1000
3600	C	M235	23	0	1000
3600	C	M236	24	0	1000
3600	C	M237	25	0	1000
3600	C	M238	26	0	1000
3600	C	M239	29	0	1000
3600	C	M240	30	0	1000
3600	C	M241	31	0	1000
3600	C	M242	32	0	1000
3600	C	M243	36	0	1000
3600	C	M244	38	0	1000
3600	C	M245	40	0	1000
3600	C	M246	46	0	1000
3900	C	M247	9	0	1000
3900	C	M248	11	0	1000
3900	C	M249	16	0	1000
3900	C	M250	17	0	1000
3900	C	M251	19	0	1000
3900	C	M252	20	0	1000
3900	C	M253	21	0	1000
3900	C	M254	23	0	1000
3900	C	M255	24	0	1000
3900	C	M256	25	0	1000
3900	C	M257	26	0	1000
3900	C	M258	29	0	1000
3900	C	M259	30	0	1000
3900	C	M260	31	0	1000
3900	C	M261	32	0	1000
3900	C	M262	36	0	1000
3900	C	M263	38	0	1000
3900	C	M264	40	0	1000
3900	C	M265	46	0	1000
4200	C	M266	9	0	1000
4200	C	M267	11	0	1000
4200	C	M268	16	0	1000
4200	C	M269	17	0	1000
4200	C	M270	19	0	1000
4200	C	M271	20	0	1000
4200	C	M272	21	0	1000
4200	C	M273	23	0	1000
4200	C	M274	24	0	1000
4200	C	M275	25	0	1000
4200	C	M276	26	0	1000
4200	C	M277	29	0	1000
4200	C	M278	30	0	1000
4200	C	M279	31	0	1000
4200	C	M280	32	0	1000
4200	C	M281	36	0	1000
4200	C	M282	38	0	1000
4200	C	M283	40	0	1000
4200	C	M284	46	0	1000
4500	C	M285	9	0	1000
4500	C	M286	11	0	1000
4500	C	M287	16	0	1000
4500	C	M288	17	0	1000
4500	C	M289	19	0	1000
4500	C	M290	20	0	1000
4500	C	M291	21	0	1000
4500	C	M292	23	0	1000
4500	C	M293	24	0	1000
4500	C	M294	25	0	1000
4500	C	M295	26	0	1000
4500	C	M296	29	0	1000
4500	C	M297	30	0	1000
4500	C	M298	31	0	1000
4500	C	M299	32	0	1000
4500	C	M300	36	0	1000
4500	C	M301	38	0	1000
4500	C	M302	40	0	1000
4500	C	M303	46	0	1000
4800	C	M304	9	0	1000
4800	C	M305	11	0	1000
4800	C	M306	16	0	1000
4800	C	M307	17	0	1000
4800	C	M308	19	0	1000
4800	C	M309	20	0	1000
4800	C	M310	21	0	1000
4800	C	M311	23	0	1000
4800	C	M312	24	0	1000
4800	C	M313	25	0	1000
4800	C	M314	26	0	1000
4800	C	M315	29	0	1000
4800	C	M316	30	0	1000
4800	C	M317	31	0	1000
4800	C	M318	32	0	1000
4800	C	M319	36	0	1000
4800	C	M320	38	0	1000
4800	C	M321	40	0	1000
4800	C	M322	46	0	1000
5100	C	M323	9	0	1000
5100	C	M324	11	0	1000
5100	C	M325	16	0	1000
5100	C	M326	17	0	1000
5100	C	M327	19	0	1000
5100	C	M328	20	0	1000
5100	C	M329	21	0	1000
5100	C	M330	23	0	1000
5100	C	M331	24	0	1000
5100	C	M332	25	0	1000
