Contact	NrofDelivered
32000	38.46153846153847
64000	58.333333333333336
10500	NaN
42500	43.87755102040816
74500	60.83333333333333
21000	17.24137931034483
53000	53.333333333333336
85000	60.83333333333333
31500	39.682539682539684
63500	58.333333333333336
10000	NaN
42000	42.70833333333333
74000	60.0
20500	18.51851851851852
52500	53.333333333333336
84500	60.83333333333333
31000	40.32258064516129
63000	58.333333333333336
9500	NaN
41500	43.15789473684211
73500	60.0
20000	19.230769230769234
52000	52.5
84000	60.83333333333333
30500	40.0
62500	58.333333333333336
9000	NaN
41000	44.086021505376344
73000	60.0
19500	20.833333333333336
51500	50.83333333333333
83500	60.83333333333333
30000	41.37931034482759
62000	58.333333333333336
8500	NaN
40500	43.956043956043956
72500	59.166666666666664
19000	22.727272727272727
51000	50.83333333333333
83000	60.83333333333333
29500	38.59649122807017
61500	57.49999999999999
8000	NaN
40000	43.333333333333336
72000	59.166666666666664
18500	23.809523809523807
50500	50.0
82500	60.83333333333333
29000	40.0
61000	57.49999999999999
7500	NaN
39500	43.18181818181818
71500	59.166666666666664
18000	15.789473684210526
50000	50.0
82000	60.83333333333333
28500	41.509433962264154
60500	57.49999999999999
7000	NaN
39000	43.67816091954023
71000	59.166666666666664
17500	11.76470588235294
49500	48.333333333333336
81500	60.83333333333333
28000	36.53846153846153
60000	57.49999999999999
6500	NaN
38500	44.70588235294118
70500	59.166666666666664
17000	6.25
49000	46.61016949152542
81000	60.83333333333333
27500	38.0
59500	56.666666666666664
6000	NaN
38000	45.23809523809524
70000	59.166666666666664
16500	0.0
48500	46.15384615384615
80500	60.83333333333333
27000	36.734693877551024
59000	56.666666666666664
91000	60.83333333333333
5500	NaN
37500	43.90243902439025
69500	59.166666666666664
16000	0.0
48000	46.95652173913044
80000	60.83333333333333
26500	36.17021276595745
58500	56.666666666666664
90500	60.83333333333333
5000	NaN
37000	43.75
69000	59.166666666666664
15500	0.0
47500	46.49122807017544
79500	60.83333333333333
26000	37.77777777777778
58000	56.666666666666664
90000	60.83333333333333
4500	NaN
36500	44.303797468354425
68500	59.166666666666664
15000	0.0
47000	46.42857142857143
79000	60.83333333333333
25500	34.090909090909086
57500	56.666666666666664
89500	60.83333333333333
4000	NaN
36000	42.857142857142854
68000	59.166666666666664
14500	0.0
46500	46.846846846846844
78500	60.83333333333333
25000	30.952380952380953
57000	55.833333333333336
89000	60.83333333333333
3500	NaN
35500	43.42105263157895
67500	59.166666666666664
14000	0.0
46000	46.788990825688074
78000	60.83333333333333
24500	32.5
56500	55.00000000000001
88500	60.83333333333333
3000	NaN
35000	44.5945945945946
67000	59.166666666666664
13500	0.0
45500	45.794392523364486
77500	60.83333333333333
24000	28.205128205128204
56000	55.00000000000001
88000	60.83333333333333
2500	NaN
34500	44.44444444444444
66500	58.333333333333336
13000	0.0
45000	46.22641509433962
77000	60.83333333333333
23500	29.72972972972973
55500	54.166666666666664
87500	60.83333333333333
2000	NaN
34000	42.25352112676056
66000	58.333333333333336
12500	0.0
44500	47.11538461538461
76500	60.83333333333333
23000	28.57142857142857
55000	54.166666666666664
87000	60.83333333333333
1500	NaN
33500	39.130434782608695
65500	58.333333333333336
12000	0.0
44000	47.05882352941176
76000	60.83333333333333
22500	26.47058823529412
54500	54.166666666666664
86500	60.83333333333333
1000	NaN
33000	38.23529411764706
65000	58.333333333333336
11500	NaN
43500	44.554455445544555
75500	60.83333333333333
22000	15.625
54000	54.166666666666664
86000	60.83333333333333
500	NaN
32500	37.878787878787875
64500	58.333333333333336
11000	NaN
43000	44.44444444444444
75000	60.83333333333333
21500	16.129032258064516
53500	54.166666666666664
85500	60.83333333333333

